Step,Deviation,Deviation Feedback,Distance,Distance_Deriv,Runtime,Nb Line,Nb Points,Matching,Rudder,Throttle,Brakes
98,0.0,-0.000900900903287692,17.0,0.0,18.00060272216797,3,45,0,0.03603603613150768,0.6000000000000001,0.0
99,0.0,-0.000900900903287692,17.0,0.0,17.990827560424805,3,45,0,0.03603603613150768,0.6000000000000001,0.0
100,0.0,-0.000900900903287692,17.0,0.0,16.991376876831055,3,45,0,0.03603603613150768,0.6000000000000001,0.0
101,0.0,-0.000900900903287692,17.0,0.0,16.580820083618164,3,45,0,0.03603603613150768,0.6000000000000001,0.0
102,0.0,-0.000900900903287692,17.0,0.0,17.99941062927246,3,45,0,0.03603603613150768,0.6000000000000001,0.0
103,0.0,-0.000900900903287692,17.0,0.0,17.508745193481445,3,50,0,0.03603603613150768,0.6000000000000001,0.0
104,0.0,-0.000900900903287692,17.0,0.0,17.000675201416016,3,50,0,0.03603603613150768,0.6000000000000001,0.0
105,0.0,-0.000900900903287692,17.0,0.0,17.005443572998047,3,50,0,0.03603603613150768,0.6000000000000001,0.0
106,0.0,-0.000900900903287692,17.0,0.0,20.000696182250977,3,50,0,0.03603603613150768,0.6000000000000001,0.0
107,0.0,-0.000900900903287692,17.0,0.0,18.000125885009766,3,50,0,0.03603603613150768,0.6000000000000001,0.0
108,0.0,-0.000900900903287692,17.0,0.0,16.999483108520508,3,50,0,0.03603603613150768,0.6000000000000001,0.0
109,0.0,-0.000900900903287692,17.0,0.0,19.016504287719727,3,50,0,0.03603603613150768,0.6000000000000001,0.0
110,0.0,-0.000900900903287692,17.0,0.0,18.999814987182617,3,50,0,0.03603603613150768,0.6000000000000001,0.0
111,0.0,-0.000900900903287692,17.0,0.0,17.992496490478516,3,50,0,0.03603603613150768,0.6000000000000001,0.0
112,0.0,-0.000900900903287692,17.0,0.0,18.007278442382812,3,50,0,0.03603603613150768,0.6000000000000001,0.0
113,0.0,-0.000900900903287692,17.0,0.0,18.993616104125977,3,50,0,0.03603603613150768,0.6000000000000001,0.0
114,0.0,-0.000900900903287692,17.0,0.0,15.999555587768555,3,50,0,0.03603603613150768,0.6000000000000001,0.0
115,0.0,-0.000900900903287692,17.0,0.0,17.000436782836914,3,50,0,0.03603603613150768,0.6000000000000001,0.0
116,0.0,-0.000900900903287692,17.0,0.0,16.99995994567871,3,50,0,0.03603603613150768,0.6000000000000001,0.0
117,0.0,-0.000900900903287692,17.0,0.0,17.998933792114258,3,50,0,0.03603603613150768,0.6000000000000001,0.0
118,0.0,-0.000900900903287692,17.0,0.0,18.01300048828125,3,50,0,0.03603603613150768,0.6000000000000001,0.0
119,0.0,-0.000900900903287692,17.0,0.0,19.026994705200195,3,50,0,0.03603603613150768,0.6000000000000001,0.0
120,0.0,-0.000900900903287692,17.0,0.0,19.011974334716797,3,50,0,0.03603603613150768,0.6000000000000001,0.0
121,0.0,-0.000900900903287692,17.0,0.0,17.930030822753906,3,50,0,0.03603603613150768,0.6000000000000001,0.0
122,0.0,-0.000900900903287692,17.0,0.0,19.001007080078125,3,50,0,0.03603603613150768,0.6000000000000001,0.0
123,0.0,-0.000900900903287692,17.0,0.0,17.989158630371094,3,50,0,0.03603603613150768,0.6000000000000001,0.0
124,0.0,-0.000900900903287692,17.0,0.0,18.006086349487305,3,50,0,0.03603603613150768,0.6000000000000001,0.0
125,0.0,-0.000900900903287692,17.0,0.0,18.011808395385742,3,50,0,0.03603603613150768,0.6000000000000001,0.0
126,0.0,-0.000900900903287692,17.0,0.0,16.988277435302734,3,50,0,0.03603603613150768,0.6000000000000001,0.0
127,0.0,-0.000900900903287692,17.0,0.0,16.988039016723633,3,50,0,0.03603603613150768,0.6000000000000001,0.0
128,0.0,-0.000900900903287692,17.0,0.0,16.99376106262207,3,50,0,0.03603603613150768,0.6000000000000001,0.0
129,0.0,-0.000900900903287692,17.0,0.0,16.992807388305664,3,50,0,0.03603603613150768,0.6000000000000001,0.0
130,0.0,-0.000900900903287692,17.0,0.0,16.999483108520508,3,50,0,0.03603603613150768,0.6000000000000001,0.0
131,0.0,-0.000900900903287692,17.0,0.0,16.99995994567871,3,50,0,0.03603603613150768,0.6000000000000001,0.0
132,0.0,-0.000900900903287692,17.0,0.0,18.00084114074707,3,50,0,0.03603603613150768,0.6000000000000001,0.0
133,0.0,-0.000900900903287692,17.0,0.0,17.992734909057617,3,50,0,0.03603603613150768,0.6000000000000001,0.0
134,0.0,-0.000900900903287692,17.0,0.0,15.991926193237305,3,50,0,0.03603603613150768,0.6000000000000001,0.0
135,0.0,-0.000900900903287692,17.0,0.0,20.998001098632812,3,50,0,0.03603603613150768,0.6000000000000001,0.0
136,0.0,-0.000900900903287692,17.0,0.0,20.008563995361328,3,50,0,0.03603603613150768,0.6000000000000001,0.0
137,0.0,-0.000900900903287692,17.0,0.0,18.00084114074707,3,50,0,0.03603603613150768,0.6000000000000001,0.0
138,0.0,-0.000900900903287692,17.0,0.0,16.001462936401367,3,45,0,0.03603603613150768,0.6000000000000001,0.0
139,0.0,-0.000900900903287692,17.0,0.0,15.99740982055664,3,45,0,0.03603603613150768,0.6000000000000001,0.0
140,0.0,-0.000900900903287692,17.0,0.0,15.768289566040039,3,45,0,0.03603603613150768,0.6000000000000001,0.0
141,0.0,-0.000900900903287692,17.0,0.0,15.999794006347656,3,45,0,0.03603603613150768,0.6000000000000001,0.0
142,0.0,-0.000900900903287692,17.0,0.0,16.99352264404297,3,45,0,0.03603603613150768,0.6000000000000001,0.0
143,0.0,-0.000900900903287692,17.0,0.0,17.999887466430664,3,45,0,0.03603603613150768,0.6000000000000001,0.0
144,0.0,-0.000900900903287692,17.0,0.0,16.999483108520508,3,45,0,0.03603603613150768,0.6000000000000001,0.0
145,0.0,-0.000900900903287692,17.0,0.0,16.99995994567871,3,45,0,0.03603603613150768,0.6000000000000001,0.0
146,0.0,-0.000900900903287692,17.0,0.0,15.999794006347656,3,45,0,0.03603603613150768,0.6000000000000001,0.0
147,0.0,-0.000900900903287692,17.0,0.0,16.005992889404297,3,45,0,0.03603603613150768,0.6000000000000001,0.0
148,0.0,-0.000900900903287692,17.0,0.0,15.993118286132812,3,45,0,0.03603603613150768,0.6000000000000001,0.0
149,0.0,-0.000900900903287692,17.0,0.0,16.99352264404297,3,45,0,0.03603603613150768,0.6000000000000001,0.0
150,0.0,-0.000900900903287692,17.0,0.0,15.984535217285156,3,45,0,0.03603603613150768,0.6000000000000001,0.0
151,0.0,-0.000900900903287692,17.0,0.0,17.994165420532227,3,45,0,0.03603603613150768,0.6000000000000001,0.0
152,0.0,-0.000900900903287692,17.0,0.0,18.001556396484375,3,45,0,0.03603603613150768,0.6000000000000001,0.0
153,0.0,-0.000900900903287692,17.0,0.0,17.994403839111328,3,45,0,0.03603603613150768,0.6000000000000001,0.0
154,0.0,-0.000900900903287692,17.0,0.0,15.99431037902832,3,45,0,0.03603603613150768,0.6000000000000001,0.0
155,0.0,-0.000900900903287692,17.0,0.0,15.999078750610352,3,45,0,0.03603603613150768,0.6000000000000001,0.0
156,0.0,-0.000900900903287692,17.0,0.0,15.990972518920898,3,45,0,0.03603603613150768,0.6000000000000001,0.0
157,0.0,-0.000900900903287692,17.0,0.0,18.996238708496094,3,45,0,0.03603603613150768,0.6000000000000001,0.0
158,0.0,-0.000900900903287692,17.0,0.0,17.998695373535156,3,45,0,0.03603603613150768,0.6000000000000001,0.0
159,0.0,-0.000900900903287692,17.0,0.0,15.000343322753906,3,45,0,0.03603603613150768,0.6000000000000001,0.0
160,0.0,-0.000900900903287692,17.0,0.0,16.008615493774414,3,45,0,0.03603603613150768,0.6000000000000001,0.0
161,0.0,-0.000900900903287692,17.0,0.0,16.0062313079834,3,45,0,0.03603603613150768,0.6000000000000001,0.0
162,0.0,-0.000900900903287692,17.0,0.0,17.00568199157715,3,45,0,0.03603603613150768,0.6000000000000001,0.0
163,0.0,-0.000900900903287692,17.0,0.0,15.999317169189453,3,45,0,0.03603603613150768,0.6000000000000001,0.0
164,0.0,-0.000900900903287692,17.0,0.0,15.00082015991211,3,45,0,0.03603603613150768,0.6000000000000001,0.0
165,0.0,-0.000900900903287692,17.0,0.0,16.001224517822266,3,45,0,0.03603603613150768,0.6000000000000001,0.0
166,0.0,-0.000900900903287692,17.0,0.0,17.000198364257812,3,45,0,0.03603603613150768,0.6000000000000001,0.0
167,0.0,-0.000900900903287692,17.0,0.0,17.000198364257812,3,45,0,0.03603603613150768,0.6000000000000001,0.0
168,0.0,-0.000900900903287692,17.0,0.0,16.226768493652344,3,45,0,0.03603603613150768,0.6000000000000001,0.0
169,0.0,-0.000900900903287692,17.0,0.0,17.197608947753906,3,45,0,0.03603603613150768,0.6000000000000001,0.0
170,0.0,-0.000900900903287692,17.0,0.0,17.30656623840332,3,45,0,0.03603603613150768,0.6000000000000001,0.0
171,0.0,-0.000900900903287692,17.0,0.0,16.232013702392578,3,45,0,0.03603603613150768,0.6000000000000001,0.0
172,0.0,-0.000900900903287692,17.0,0.0,16.993999481201172,3,45,0,0.03603603613150768,0.6000000000000001,0.0
173,0.0,-0.000900900903287692,17.0,0.0,16.273021697998047,3,45,0,0.03603603613150768,0.6000000000000001,0.0
174,0.0,-0.000900900903287692,17.0,0.0,15.423774719238281,3,45,0,0.03603603613150768,0.6000000000000001,0.0
175,0.0,-0.000900900903287692,17.0,0.0,16.794919967651367,3,45,0,0.03603603613150768,0.6000000000000001,0.0
176,0.0,-0.000900900903287692,17.0,0.0,17.007112503051758,3,45,0,0.03603603613150768,0.6000000000000001,0.0
177,0.0,-0.000900900903287692,17.0,0.0,16.06130599975586,3,45,0,0.03603603613150768,0.6000000000000001,0.0
178,0.0,-0.000900900903287692,17.0,0.0,16.00050926208496,3,45,0,0.03603603613150768,0.6000000000000001,0.0
179,0.0,-0.000900900903287692,17.0,0.0,15.994548797607422,3,45,0,0.03603603613150768,0.6000000000000001,0.0
180,0.0,-0.000900900903287692,17.0,0.0,16.00050926208496,3,45,0,0.03603603613150768,0.6000000000000001,0.0
181,0.0,-0.000900900903287692,17.0,0.0,16.00027084350586,3,45,0,0.03603603613150768,0.6000000000000001,0.0
182,0.0,-0.000900900903287692,17.0,0.0,17.000913619995117,3,45,0,0.03603603613150768,0.6000000000000001,0.0
183,0.0,-0.000900900903287692,17.0,0.0,16.999006271362305,3,45,0,0.03603603613150768,0.6000000000000001,0.0
184,0.0,-0.000900900903287692,17.0,0.0,18.001794815063477,3,45,0,0.03603603613150768,0.6000000000000001,0.0
185,0.0,-0.000900900903287692,17.0,0.0,21.001338958740234,3,45,0,0.03603603613150768,0.6000000000000001,0.0
